iter	MultiClass
0	2.096279123
1	1.949589014
2	1.831085044
3	1.715674565
4	1.63027134
5	1.553081538
6	1.475155482
7	1.410670363
8	1.346022079
9	1.290698942
10	1.243489423
11	1.203146585
12	1.152807532
13	1.114970645
14	1.077729697
15	1.046506697
16	1.011865093
17	0.9772414483
18	0.9546358996
19	0.9264393664
20	0.8999357354
21	0.873963468
22	0.8518068764
23	0.8301965228
24	0.8097365015
25	0.7910029967
26	0.7709662978
27	0.7552696526
28	0.7421568986
29	0.7245673164
30	0.7083524857
31	0.6936269508
32	0.6796630769
33	0.6709611361
34	0.6590663544
35	0.6449865192
36	0.6324410495
37	0.6196451207
38	0.6080263387
39	0.6009165437
40	0.5898588511
41	0.5797143354
42	0.5726132192
43	0.5623114504
44	0.5537371821
45	0.5461497956
46	0.5393483774
47	0.5293094332
48	0.520816185
49	0.5159183387
50	0.5125712591
51	0.5024775925
52	0.4922972718
53	0.4852326046
54	0.4795289082
55	0.475214305
56	0.4695192483
57	0.4648703276
58	0.4590442847
59	0.4555794217
60	0.4494728448
61	0.4442275065
62	0.4401861013
63	0.4350263285
64	0.430403575
65	0.4269258263
66	0.4225964126
67	0.4170942573
68	0.4113094316
69	0.4065668449
70	0.4017321623
71	0.3968218474
72	0.3911567834
73	0.3877050051
74	0.3849836396
75	0.3824998106
76	0.3802431376
77	0.3782475162
78	0.3745375843
79	0.3726829681
80	0.3688937585
81	0.3672249147
82	0.3635633742
83	0.3596664702
84	0.3574190838
85	0.3550518042
86	0.3504235492
87	0.3480698542
88	0.3429532646
89	0.3401630821
90	0.3378561294
91	0.3363082857
92	0.3342968667
93	0.3317892601
94	0.3296150837
95	0.3269786834
96	0.3238101182
97	0.3216327551
98	0.3198927719
99	0.3172812151
100	0.3151003444
101	0.3129807738
102	0.3110144074
103	0.3091275106
104	0.3052431893
105	0.3029141865
106	0.3008529041
107	0.2989796879
108	0.2957536554
109	0.2944170555
110	0.2924529563
111	0.2915469541
112	0.2896345338
113	0.2882360973
114	0.2859363682
115	0.2846111863
116	0.2834063138
117	0.2812001328
118	0.2791145494
119	0.2782685661
120	0.2777562618
121	0.2760250473
122	0.2750182407
123	0.2732110467
124	0.2720502398
125	0.2712807475
126	0.2698344898
127	0.2690513046
128	0.2670330905
129	0.2648451609
130	0.2643696217
131	0.262439948
132	0.2613546912
133	0.260507493
134	0.259421391
135	0.2582859406
136	0.2575568951
137	0.2571206647
138	0.256245445
139	0.2556650061
140	0.254074196
141	0.2527616007
142	0.251657777
143	0.2505599242
144	0.2500207824
145	0.2494832447
146	0.2492489438
147	0.2483853753
