iter	Passed	Remaining
0	397	396730
1	635	316920
2	907	301548
3	1206	300327
4	1449	288373
5	1714	284054
6	1958	277757
7	2192	271862
8	2438	268481
9	2686	265917
10	2937	264141
11	3223	265360
12	3455	262343
13	3698	260480
14	3914	257084
15	4119	253365
16	4401	254525
17	4642	253291
18	4837	249772
19	5058	247846
20	5300	247120
21	5541	246351
22	5799	246346
23	6077	247135
24	6332	246970
25	6603	247390
26	6890	248311
27	7153	248324
28	7359	246411
29	7665	247864
30	7889	246609
31	8110	245329
32	8363	245067
33	8535	242500
34	8733	240804
35	8983	240562
36	9231	240256
37	9499	240499
38	9721	239537
39	9906	237761
40	10107	236416
41	10361	236335
42	10560	235037
43	10811	234910
44	11035	234187
45	11240	233123
46	11422	231602
47	11677	231595
48	11940	231734
49	12128	230439
50	12322	229303
51	12583	229404
52	12829	229230
53	13087	229269
54	13294	228422
55	13469	227052
56	13682	226361
57	13889	225581
58	14105	224975
59	14281	223745
60	14520	223524
61	14741	223029
62	14953	222401
63	15166	221807
64	15374	221162
65	15573	220384
66	15781	219760
67	16027	219667
68	16266	219482
69	16482	218981
70	16712	218677
71	16941	218353
72	17162	217936
73	17350	217116
74	17552	216476
75	17771	216060
76	17999	215756
77	18218	215347
78	18512	215823
79	18756	215697
80	19063	216290
81	19269	215724
82	19523	215700
83	19778	215683
84	19982	215102
85	20241	215126
86	20522	215367
87	20726	214806
88	20984	214794
89	21207	214432
90	21403	213802
91	21607	213255
92	21787	212487
93	22003	212075
94	22232	211798
95	22508	211957
96	22731	211611
97	22925	211008
98	23101	210250
99	23354	210186
100	23588	209961
101	23796	209506
102	24029	209263
103	24236	208808
104	24485	208711
105	24691	208244
106	24898	207800
107	25099	207304
108	25338	207122
109	25510	206400
110	25711	205921
111	25915	205472
112	26115	204992
113	26300	204405
114	26526	204142
115	26723	203655
116	26908	203079
117	27131	202793
118	27342	202428
119	27530	201889
120	27696	201200
121	27927	200988
122	28161	200792
123	28409	200700
124	28618	200329
125	28785	199668
126	28976	199188
127	29159	198648
128	29367	198289
129	29589	198021
130	29769	197481
131	29996	197246
132	30182	196755
133	30381	196346
134	30632	196273
135	30823	195819
136	31003	195296
137	31170	194701
138	31357	194235
139	31532	193699
140	31732	193320
141	31947	193034
142	32130	192558
143	32346	192284
144	32525	191786
145	32736	191485
146	32912	190980
147	33121	190671
148	33297	190175
149	33504	189858
150	33699	189476
151	33913	189203
152	34105	188806
153	34278	188309
154	34484	187997
155	34676	187606
156	34877	187273
157	35080	186949
158	35263	186522
159	35443	186080
160	35630	185676
161	35825	185321
162	36018	184956
163	36245	184765
164	36447	184448
165	36614	183955
166	36831	183714
167	37020	183340
168	37213	182986
169	37395	182578
170	37570	182141
171	37786	181901
172	37989	181604
173	38175	181226
174	38365	180866
175	38557	180519
176	38782	180328
177	38946	179855
178	39170	179659
179	39413	179551
180	39617	179261
181	39801	178889
182	40023	178686
183	40215	178345
184	40383	177906
185	40589	177631
186	40818	177461
187	41021	177179
188	41221	176881
189	41448	176700
190	41645	176392
191	41827	176024
192	42009	175657
193	42191	175291
194	42422	175128
195	42635	174891
196	42800	174460
197	42970	174053
198	43150	173684
199	43345	173380
200	43551	173121
201	43713	172689
202	43919	172433
203	44081	172005
204	44265	171664
205	44428	171243
206	44592	170829
207	44807	170614
208	44980	170236
209	45233	170162
210	45413	169815
211	45608	169526
212	45786	169174
213	45978	168872
214	46148	168494
215	46316	168109
216	46538	167926
217	46704	167536
218	46877	167175
219	47062	166858
220	47235	166500
221	47419	166180
222	47598	165847
223	47787	165547
224	47947	165153
225	48112	164773
226	48300	164477
227	48487	164178
228	48739	164096
229	48908	163735
230	49091	163427
231	49256	163054
232	49427	162707
233	49586	162320
234	49772	162023
235	49938	161664
236	50116	161344
237	50277	160973
238	50441	160610
239	50605	160249
240	50783	159936
241	50972	159656
242	51196	159488
243	51369	159160
244	51582	158958
245	51747	158607
246	51911	158257
247	52088	157946
248	52250	157590
249	52425	157276
250	52586	156922
251	52761	156609
252	52950	156339
253	53132	156050
254	53335	155822
255	53512	155520
256	53675	155179
257	53835	154829
258	54001	154499
259	54239	154374
260	54413	154068
261	54615	153842
262	54883	153798
263	55047	153464
264	55236	153202
265	55423	152934
266	55629	152719
267	55823	152474
268	55988	152147
269	56196	151937
270	56359	151608
271	56538	151323
272	56767	151171
273	56961	150925
274	57139	150641
275	57335	150403
